"Time","lama.mean"
"24/09/2022, 20:00:00",
"25/09/2022, 02:00:00",
"25/09/2022, 08:00:00",
"25/09/2022, 14:00:00",
"25/09/2022, 20:00:00",
"26/09/2022, 02:00:00",20.474
"26/09/2022, 08:00:00",22.608
"26/09/2022, 14:00:00",24.422
"26/09/2022, 20:00:00",18.580
"27/09/2022, 02:00:00",
"27/09/2022, 08:00:00",23.121
"27/09/2022, 14:00:00",27.117
"27/09/2022, 20:00:00",22.639
"28/09/2022, 02:00:00",20.056
"28/09/2022, 08:00:00",23.997
"28/09/2022, 14:00:00",27.983
"28/09/2022, 20:00:00",23.404
"29/09/2022, 02:00:00",22.015
"29/09/2022, 08:00:00",23.546
"29/09/2022, 14:00:00",25.554
"29/09/2022, 20:00:00",20.419
"30/09/2022, 02:00:00",17.408
"30/09/2022, 08:00:00",20.036
"30/09/2022, 14:00:00",23.678
"30/09/2022, 20:00:00",20.031
"01/10/2022, 02:00:00",16.365
"01/10/2022, 08:00:00",20.365
"01/10/2022, 14:00:00",24.190
"01/10/2022, 20:00:00",20.461
"02/10/2022, 02:00:00",16.515
"02/10/2022, 08:00:00",20.472
"02/10/2022, 14:00:00",23.857
"02/10/2022, 20:00:00",21.643
"03/10/2022, 02:00:00",19.154
"03/10/2022, 08:00:00",22.033
"03/10/2022, 14:00:00",24.425
"03/10/2022, 20:00:00",22.521
"04/10/2022, 02:00:00",20.094
"04/10/2022, 08:00:00",21.514
"04/10/2022, 14:00:00",25.161
"04/10/2022, 20:00:00",22.103
"05/10/2022, 02:00:00",19.421
"05/10/2022, 08:00:00",22.399
"05/10/2022, 14:00:00",24.650
"05/10/2022, 20:00:00",23.007
"06/10/2022, 02:00:00",20.035
"06/10/2022, 08:00:00",20.432
"06/10/2022, 14:00:00",21.671
"06/10/2022, 20:00:00",20.257
"07/10/2022, 02:00:00",17.972
"07/10/2022, 08:00:00",21.517
"07/10/2022, 14:00:00",24.503
"07/10/2022, 20:00:00",22.939
"08/10/2022, 02:00:00",18.781
"08/10/2022, 08:00:00",21.729
"08/10/2022, 14:00:00",23.910
"08/10/2022, 20:00:00",23.010
"09/10/2022, 02:00:00",19.563
"09/10/2022, 08:00:00",21.875
"09/10/2022, 14:00:00",23.872
"09/10/2022, 20:00:00",21.435
"10/10/2022, 02:00:00",18.825
"10/10/2022, 08:00:00",21.357
"10/10/2022, 14:00:00",24.058
"10/10/2022, 20:00:00",17.169
"11/10/2022, 02:00:00",16.539
"11/10/2022, 08:00:00",19.706
"11/10/2022, 14:00:00",23.765
"11/10/2022, 20:00:00",20.411
"12/10/2022, 02:00:00",17.926
"12/10/2022, 08:00:00",20.928
"12/10/2022, 14:00:00",23.658
"12/10/2022, 20:00:00",21.697
"13/10/2022, 02:00:00",17.007
"13/10/2022, 08:00:00",20.939
"13/10/2022, 14:00:00",24.029
"13/10/2022, 20:00:00",20.022
"14/10/2022, 02:00:00",18.278
"14/10/2022, 08:00:00",22.386
"14/10/2022, 14:00:00",26.461
"14/10/2022, 20:00:00",21.537
"15/10/2022, 02:00:00",16.725
"15/10/2022, 08:00:00",20.746
"15/10/2022, 14:00:00",24.687
"15/10/2022, 20:00:00",20.951
"16/10/2022, 02:00:00",17.956
"16/10/2022, 08:00:00",21.676
"16/10/2022, 14:00:00",25.281
"16/10/2022, 20:00:00",22.243
"17/10/2022, 02:00:00",19.287
"17/10/2022, 08:00:00",22.383
"17/10/2022, 14:00:00",24.551
"17/10/2022, 20:00:00",23.151
"18/10/2022, 02:00:00",20.160
"18/10/2022, 08:00:00",21.894
"18/10/2022, 14:00:00",24.379
"18/10/2022, 20:00:00",22.983
"19/10/2022, 02:00:00",20.669
"19/10/2022, 08:00:00",22.532
"19/10/2022, 14:00:00",23.836
"19/10/2022, 20:00:00",22.515
"20/10/2022, 02:00:00",20.278
"20/10/2022, 08:00:00",22.275
"20/10/2022, 14:00:00",24.161
"20/10/2022, 20:00:00",22.740
"21/10/2022, 02:00:00",20.987
"21/10/2022, 08:00:00",22.071
"21/10/2022, 14:00:00",23.871
"21/10/2022, 20:00:00",21.388
"22/10/2022, 02:00:00",20.218
"22/10/2022, 08:00:00",22.606
"22/10/2022, 14:00:00",24.128
"22/10/2022, 20:00:00",21.343
"23/10/2022, 02:00:00",19.112
"23/10/2022, 08:00:00",22.060
"23/10/2022, 14:00:00",24.874
"23/10/2022, 20:00:00",21.843
"24/10/2022, 02:00:00",18.711
"24/10/2022, 08:00:00",20.665
"24/10/2022, 14:00:00",24.947
"24/10/2022, 20:00:00",21.099
"25/10/2022, 02:00:00",18.429
"25/10/2022, 08:00:00",20.575
"25/10/2022, 14:00:00",24.096
"25/10/2022, 20:00:00",20.304
"26/10/2022, 02:00:00",17.910
"26/10/2022, 08:00:00",21.971
"26/10/2022, 14:00:00",25.417
"26/10/2022, 20:00:00",21.146
"27/10/2022, 02:00:00",17.011
"27/10/2022, 08:00:00",20.635
"27/10/2022, 14:00:00",23.685
"27/10/2022, 20:00:00",20.487
"28/10/2022, 02:00:00",17.513
"28/10/2022, 08:00:00",20.208
"28/10/2022, 14:00:00",23.276
"28/10/2022, 20:00:00",21.708
"29/10/2022, 02:00:00",16.924
