date,fondo,superficie,ambiente,nivel
2022-09-26 02:00:00,,,20.474,40.3
2022-09-26 08:00:00,,,22.608,
2022-09-26 14:00:00,,,24.422,
2022-09-26 20:00:00,,,18.58,
2022-09-27 02:00:00,,,,43.5
2022-09-27 08:00:00,,,23.121,
2022-09-27 14:00:00,,,27.117,
2022-09-27 20:00:00,,,22.639,
2022-09-28 02:00:00,,,20.056,44.5
2022-09-28 08:00:00,,,23.997,
2022-09-28 14:00:00,,,27.983,
2022-09-28 20:00:00,,,23.404,
2022-09-29 02:00:00,,,22.015,42.6
2022-09-29 08:00:00,,,23.546,
2022-09-29 14:00:00,,,25.554,
2022-09-29 20:00:00,,,20.419,
2022-09-30 02:00:00,,,17.408,43.0
2022-09-30 08:00:00,,,20.036,
2022-09-30 14:00:00,,,23.678,
2022-09-30 20:00:00,,,20.031,
2022-10-01 02:00:00,,,16.365,42.9
2022-10-01 08:00:00,,,20.365,
2022-10-01 14:00:00,,,24.19,
2022-10-01 20:00:00,,,20.461,
2022-10-02 02:00:00,,,16.515,43.0
2022-10-02 08:00:00,,,20.472,
2022-10-02 14:00:00,,,23.857,
2022-10-02 20:00:00,,,21.643,
2022-10-03 02:00:00,,,19.154,44.0
2022-10-03 08:00:00,,,22.033,
2022-10-03 14:00:00,,,24.425,
2022-10-03 20:00:00,,,22.521,
2022-10-04 02:00:00,,,20.094,43.0
2022-10-04 08:00:00,,,21.514,
2022-10-04 14:00:00,,,25.161,
2022-10-04 20:00:00,,,22.103,
2022-10-05 02:00:00,,,19.421,42.5
2022-10-05 08:00:00,,,22.399,
2022-10-05 14:00:00,,,24.65,
2022-10-05 20:00:00,,,23.007,
2022-10-06 02:00:00,,,20.035,40.7
2022-10-06 08:00:00,,,20.432,
2022-10-06 14:00:00,,,21.671,
2022-10-06 20:00:00,,,20.257,
2022-10-07 02:00:00,,,17.972,38.5
2022-10-07 08:00:00,,,21.517,
2022-10-07 14:00:00,,,24.503,
2022-10-07 20:00:00,,,22.939,
2022-10-08 02:00:00,,,18.781,39.0
2022-10-08 08:00:00,,,21.729,
2022-10-08 14:00:00,,,23.91,
2022-10-08 20:00:00,,,23.01,
2022-10-09 02:00:00,,,19.563,40.8
2022-10-09 08:00:00,,,21.875,
2022-10-09 14:00:00,,,23.872,
2022-10-09 20:00:00,,,21.435,
2022-10-10 02:00:00,,,18.825,39.8
2022-10-10 08:00:00,,,21.357,
2022-10-10 14:00:00,,,24.058,
2022-10-10 20:00:00,,,17.169,
2022-10-11 02:00:00,,,16.539,46.2
2022-10-11 08:00:00,,,19.706,
2022-10-11 14:00:00,,,23.765,
2022-10-11 20:00:00,,,20.411,
2022-10-12 02:00:00,,,17.926,46.6
2022-10-12 08:00:00,,,20.928,
2022-10-12 14:00:00,,,23.658,
2022-10-12 20:00:00,,,21.697,
2022-10-13 02:00:00,,,17.007,48.4
2022-10-13 08:00:00,,,20.939,
2022-10-13 14:00:00,,,24.029,
2022-10-13 20:00:00,,,20.022,
2022-10-14 02:00:00,,,18.278,48.7
2022-10-14 08:00:00,,,22.386,
2022-10-14 14:00:00,,,26.461,
2022-10-14 20:00:00,,,21.537,
2022-10-15 02:00:00,,,16.725,48.6
2022-10-15 08:00:00,,,20.746,
2022-10-15 14:00:00,,,24.687,
2022-10-15 20:00:00,,,20.951,
2022-10-16 02:00:00,,,17.956,48.4
2022-10-16 08:00:00,,,21.676,
2022-10-16 14:00:00,,,25.281,
2022-10-16 20:00:00,,,22.243,
2022-10-17 02:00:00,,,19.287,47.7
2022-10-17 08:00:00,,,22.383,
2022-10-17 14:00:00,,,24.551,
2022-10-17 20:00:00,,,23.151,
2022-10-18 02:00:00,,,20.16,49.4
2022-10-18 08:00:00,,,21.894,
2022-10-18 14:00:00,,,24.379,
2022-10-18 20:00:00,,,22.983,
2022-10-19 02:00:00,,,20.669,49.7
2022-10-19 08:00:00,,,22.532,
2022-10-19 14:00:00,,,23.836,
2022-10-19 20:00:00,,,22.515,
2022-10-20 02:00:00,,,20.278,49.0
2022-10-20 08:00:00,,,22.275,
2022-10-20 14:00:00,,,24.161,
2022-10-20 20:00:00,,,22.74,
2022-10-21 02:00:00,,,20.987,49.2
2022-10-21 08:00:00,,,22.071,
2022-10-21 14:00:00,,,23.871,
2022-10-21 20:00:00,,,21.388,
2022-10-22 02:00:00,,,20.218,49.7
2022-10-22 08:00:00,,,22.606,
2022-10-22 14:00:00,,,24.128,
2022-10-22 20:00:00,,,21.343,
2022-10-23 02:00:00,,,19.112,48.2
2022-10-23 08:00:00,,,22.06,
2022-10-23 14:00:00,,,24.874,
2022-10-23 20:00:00,,,21.843,
2022-10-24 02:00:00,,,18.711,48.8
2022-10-24 08:00:00,,,20.665,
2022-10-24 14:00:00,,,24.947,
2022-10-24 20:00:00,,,21.099,
2022-10-25 02:00:00,,,18.429,48.7
2022-10-25 08:00:00,,,20.575,
2022-10-25 14:00:00,,,24.096,
2022-10-25 20:00:00,,,20.304,
2022-10-26 02:00:00,,,17.91,49.0
2022-10-26 08:00:00,,,21.971,
2022-10-26 14:00:00,,,25.417,
2022-10-26 20:00:00,,,21.146,
2022-10-27 02:00:00,,,17.011,48.7
2022-10-27 08:00:00,,,20.635,
2022-10-27 14:00:00,,,23.685,
2022-10-27 20:00:00,,,20.487,
2022-10-28 02:00:00,,,17.513,49.2
2022-10-28 08:00:00,,,20.208,
2022-10-28 14:00:00,,,23.276,
2022-10-28 20:00:00,,,21.708,
2022-10-29 02:00:00,,,16.924,47.7
2022-10-29 08:00:00,,,19.974,
2022-10-29 14:00:00,,,22.985,
2022-10-29 20:00:00,,,21.789,
2022-10-30 02:00:00,,,17.763,49.2
2022-10-30 07:00:00,,,20.012,
2022-10-30 13:00:00,,,22.776,
2022-10-30 19:00:00,,,20.017,
2022-10-31 01:00:00,,,17.987,48.2
2022-10-31 07:00:00,,,20.493,
2022-10-31 13:00:00,,,22.735,
2022-10-31 19:00:00,,,20.843,
2022-11-01 01:00:00,,,20.257,48.1
2022-11-01 07:00:00,,,21.869,
2022-11-01 13:00:00,,,24.03,
2022-11-01 19:00:00,,,21.635,
2022-11-02 01:00:00,,,18.282,49.0
2022-11-02 07:00:00,,,20.64,
2022-11-02 13:00:00,,,23.303,
2022-11-02 19:00:00,,,20.24,
2022-11-03 01:00:00,,,18.378,48.6
2022-11-03 07:00:00,,,20.208,
2022-11-03 13:00:00,,,23.194,
2022-11-03 19:00:00,,,21.269,
2022-11-04 01:00:00,,,19.6,49.2
2022-11-04 07:00:00,,,21.708,
2022-11-04 13:00:00,,,24.008,
