"Time","fondo s2"
2023-01-06 15:30:00,
2023-01-06 16:00:00,
2023-01-06 16:30:00,
2023-01-06 17:00:00,
2023-01-06 17:30:00,
2023-01-06 18:00:00,
2023-01-06 18:30:00,
2023-01-06 19:00:00,17.00
2023-01-06 19:30:00,16.94
2023-01-06 20:00:00,16.90
2023-01-06 20:30:00,16.88
2023-01-06 21:00:00,16.88
2023-01-06 21:30:00,16.88
2023-01-06 22:00:00,16.85
2023-01-06 22:30:00,16.81
2023-01-06 23:00:00,16.79
2023-01-06 23:30:00,16.75
2023-01-07 00:00:00,16.73
2023-01-07 00:30:00,16.71
2023-01-07 01:00:00,16.67
2023-01-07 01:30:00,16.69
2023-01-07 02:00:00,16.67
2023-01-07 02:30:00,16.63
2023-01-07 03:00:00,16.63
2023-01-07 03:30:00,16.63
2023-01-07 04:00:00,16.69
2023-01-07 04:30:00,16.73
2023-01-07 05:00:00,16.69
2023-01-07 05:30:00,16.69
2023-01-07 06:00:00,16.69
2023-01-07 06:30:00,16.65
2023-01-07 07:00:00,16.60
2023-01-07 07:30:00,16.58
2023-01-07 08:00:00,16.63
2023-01-07 08:30:00,16.63
2023-01-07 09:00:00,16.58
2023-01-07 09:30:00,16.52
2023-01-07 10:00:00,16.48
2023-01-07 10:30:00,16.50
2023-01-07 11:00:00,16.44
2023-01-07 11:30:00,16.38
2023-01-07 12:00:00,16.40
2023-01-07 12:30:00,16.46
2023-01-07 13:00:00,16.69
2023-01-07 13:30:00,16.83
2023-01-07 14:00:00,16.85
2023-01-07 14:30:00,16.91
2023-01-07 15:00:00,16.98
2023-01-07 15:30:00,16.94
2023-01-07 16:00:00,16.90
2023-01-07 16:30:00,16.88
2023-01-07 17:00:00,16.81
2023-01-07 17:30:00,16.81
2023-01-07 18:00:00,16.75
2023-01-07 18:30:00,16.71
2023-01-07 19:00:00,16.67
2023-01-07 19:30:00,16.56
2023-01-07 20:00:00,16.56
2023-01-07 20:30:00,16.50
2023-01-07 21:00:00,16.50
2023-01-07 21:30:00,16.50
2023-01-07 22:00:00,16.48
2023-01-07 22:30:00,16.44
2023-01-07 23:00:00,16.40
2023-01-07 23:30:00,16.31
2023-01-08 00:00:00,16.31
2023-01-08 00:30:00,16.33
2023-01-08 01:00:00,16.31
2023-01-08 01:30:00,16.25
2023-01-08 02:00:00,16.19
2023-01-08 02:30:00,16.15
2023-01-08 03:00:00,16.13
2023-01-08 03:30:00,16.15
2023-01-08 04:00:00,16.15
2023-01-08 04:30:00,16.13
2023-01-08 05:00:00,16.06
2023-01-08 05:30:00,15.97
2023-01-08 06:00:00,16.02
