"Time","Altura lamina "
"21/09/2022, 02:00:00",
"22/09/2022, 02:00:00",
"23/09/2022, 02:00:00",
"24/09/2022, 02:00:00",
"25/09/2022, 02:00:00",
"26/09/2022, 02:00:00",40.3
"27/09/2022, 02:00:00",43.5
"28/09/2022, 02:00:00",44.5
"29/09/2022, 02:00:00",42.6
"30/09/2022, 02:00:00",43.0
"01/10/2022, 02:00:00",42.9
"02/10/2022, 02:00:00",43.0
"03/10/2022, 02:00:00",44.0
"04/10/2022, 02:00:00",43.0
"05/10/2022, 02:00:00",42.5
"06/10/2022, 02:00:00",40.7
"07/10/2022, 02:00:00",38.5
"08/10/2022, 02:00:00",39.0
"09/10/2022, 02:00:00",40.8
"10/10/2022, 02:00:00",39.8
"11/10/2022, 02:00:00",46.2
"12/10/2022, 02:00:00",46.6
"13/10/2022, 02:00:00",48.4
"14/10/2022, 02:00:00",48.7
"15/10/2022, 02:00:00",48.6
"16/10/2022, 02:00:00",48.4
"17/10/2022, 02:00:00",47.7
"18/10/2022, 02:00:00",49.4
"19/10/2022, 02:00:00",49.7
"20/10/2022, 02:00:00",49
"21/10/2022, 02:00:00",49.2
"22/10/2022, 02:00:00",49.7
"23/10/2022, 02:00:00",48.2
"24/10/2022, 02:00:00",48.8
"25/10/2022, 02:00:00",48.7
"26/10/2022, 02:00:00",49.0
"27/10/2022, 02:00:00",48.7
"28/10/2022, 02:00:00",49.2
"29/10/2022, 02:00:00",47.7
"30/10/2022, 02:00:00",49.2
"31/10/2022, 01:00:00",48.2
"01/11/2022, 01:00:00",48.1
"02/11/2022, 01:00:00",49.0
"03/11/2022, 01:00:00",48.6
"04/11/2022, 01:00:00",49.2
"05/11/2022, 01:00:00",47.6
"06/11/2022, 01:00:00",48.1
"07/11/2022, 01:00:00",46.9
"08/11/2022, 01:00:00",47.2
"09/11/2022, 01:00:00",45.5
"10/11/2022, 01:00:00",47.5
"11/11/2022, 01:00:00",51.2
"12/11/2022, 01:00:00",48.4
"13/11/2022, 01:00:00",49.0
"14/11/2022, 01:00:00",51.2
"15/11/2022, 01:00:00",50.3
"16/11/2022, 01:00:00",51.7
"17/11/2022, 01:00:00",51.3
"18/11/2022, 01:00:00",49.7
"19/11/2022, 01:00:00",50.4
"20/11/2022, 01:00:00",49.6
"21/11/2022, 01:00:00",49.7
"22/11/2022, 01:00:00",50.7
"23/11/2022, 01:00:00",48.4
"24/11/2022, 01:00:00",49.7
"25/11/2022, 01:00:00",50.6
"26/11/2022, 01:00:00",50.6
"27/11/2022, 01:00:00",50.3
"28/11/2022, 01:00:00",50.8
"29/11/2022, 01:00:00",49.8
"30/11/2022, 01:00:00",49.6
"01/12/2022, 01:00:00",50.5
"02/12/2022, 01:00:00",54.2
"03/12/2022, 01:00:00",52.8
"04/12/2022, 01:00:00",52.3
"05/12/2022, 01:00:00",52.6
"06/12/2022, 01:00:00",52.8
"07/12/2022, 01:00:00",52.0
"08/12/2022, 01:00:00",52.8
"09/12/2022, 01:00:00",52.6
"10/12/2022, 01:00:00",53.8
"11/12/2022, 01:00:00",54.1
"12/12/2022, 01:00:00",53
"13/12/2022, 01:00:00",53.5
"14/12/2022, 01:00:00",52.5
"15/12/2022, 01:00:00",54.4
"16/12/2022, 01:00:00",54.8
"17/12/2022, 01:00:00",53.9
"18/12/2022, 01:00:00",53.9
"19/12/2022, 01:00:00",54.2
"20/12/2022, 01:00:00",54.6
"21/12/2022, 01:00:00",55.4
"22/12/2022, 01:00:00",54.3
"23/12/2022, 01:00:00",54.8
"24/12/2022, 01:00:00",54.4
"25/12/2022, 01:00:00",54.6
"26/12/2022, 01:00:00",54.2
"27/12/2022, 01:00:00",54.5
"28/12/2022, 01:00:00",54.3
"29/12/2022, 01:00:00",54.9
"30/12/2022, 01:00:00",55
"31/12/2022, 01:00:00",54.7
"01/01/2023, 01:00:00",54.9
"02/01/2023, 01:00:00",54.7
"03/01/2023, 01:00:00",54.9
"04/01/2023, 01:00:00",54.8
"05/01/2023, 01:00:00",54.9
"06/01/2023, 01:00:00",55.1
"07/01/2023, 01:00:00",55.2
"08/01/2023, 01:00:00",54.6
"09/01/2023, 01:00:00",55.0
"10/01/2023, 01:00:00",54.5
"11/01/2023, 01:00:00",53.8
"12/01/2023, 01:00:00",54.4
"13/01/2023, 01:00:00",53.8
"14/01/2023, 01:00:00",54.8
"15/01/2023, 01:00:00",52.0
"16/01/2023, 01:00:00",53.7
"17/01/2023, 01:00:00",54.1
"18/01/2023, 01:00:00",55.6
"19/01/2023, 01:00:00",54.5
"20/01/2023, 01:00:00",53.6
"21/01/2023, 01:00:00",53.7
"22/01/2023, 01:00:00",54.1
"23/01/2023, 01:00:00",53.4
"24/01/2023, 01:00:00",53.5
"25/01/2023, 01:00:00",54.3
"26/01/2023, 01:00:00",53.8
"27/01/2023, 01:00:00",51.9
"28/01/2023, 01:00:00",54.3
"29/01/2023, 01:00:00",52.4
"30/01/2023, 01:00:00",53.1
"31/01/2023, 01:00:00",53.3
"01/02/2023, 01:00:00",53.2
"02/02/2023, 01:00:00",53.7
"03/02/2023, 01:00:00",52.8
"04/02/2023, 01:00:00",52.6
"05/02/2023, 01:00:00",51.9
"06/02/2023, 01:00:00",52.1
"07/02/2023, 01:00:00",54.6
"08/02/2023, 01:00:00",53.6
"09/02/2023, 01:00:00",50.8
