"Time","superficie s1"
2023-04-26 05:00:00,29.67
2023-04-26 06:00:00,29.61
2023-04-26 07:00:00,29.56
2023-04-26 08:00:00,29.53
2023-04-26 09:00:00,29.83
2023-04-26 10:00:00,30.40
2023-04-26 11:00:00,30.92
2023-04-26 12:00:00,31.06
2023-04-26 13:00:00,31.53
2023-04-26 14:00:00,31.94
2023-04-26 15:00:00,32.28
2023-04-26 16:00:00,32.62
2023-04-26 17:00:00,32.72
2023-04-26 18:00:00,32.71
2023-04-26 19:00:00,32.54
2023-04-26 20:00:00,32.55
2023-04-26 21:00:00,32.46
2023-04-26 22:00:00,32.27
2023-04-26 23:00:00,32.08
2023-04-27 00:00:00,31.92
2023-04-27 01:00:00,31.68
2023-04-27 02:00:00,31.48
2023-04-27 03:00:00,31.21
2023-04-27 04:00:00,31.00
2023-04-27 05:00:00,31.01
2023-04-27 06:00:00,30.77
2023-04-27 07:00:00,30.70
2023-04-27 08:00:00,30.92
2023-04-27 09:00:00,31.16
2023-04-27 10:00:00,31.57
2023-04-27 11:00:00,32.20
2023-04-27 12:00:00,32.82
2023-04-27 13:00:00,33.18
2023-04-27 14:00:00,33.55
2023-04-27 15:00:00,33.88
2023-04-27 16:00:00,34.07
2023-04-27 17:00:00,34.07
2023-04-27 18:00:00,33.86
2023-04-27 19:00:00,33.74
2023-04-27 20:00:00,33.58
2023-04-27 21:00:00,33.61
2023-04-27 22:00:00,33.50
2023-04-27 23:00:00,33.16
2023-04-28 00:00:00,33.23
2023-04-28 01:00:00,33.16
2023-04-28 02:00:00,32.44
2023-04-28 03:00:00,32.59
2023-04-28 04:00:00,32.46
2023-04-28 05:00:00,32.42
2023-04-28 06:00:00,32.30
2023-04-28 07:00:00,32.04
2023-04-28 08:00:00,32.11
2023-04-28 09:00:00,32.38
2023-04-28 10:00:00,32.65
2023-04-28 11:00:00,33.43
2023-04-28 12:00:00,33.89
2023-04-28 13:00:00,34.06
2023-04-28 14:00:00,34.23
2023-04-28 15:00:00,34.43
2023-04-28 16:00:00,34.66
2023-04-28 17:00:00,34.72
2023-04-28 18:00:00,34.72
2023-04-28 19:00:00,34.47
2023-04-28 20:00:00,33.95
2023-04-28 21:00:00,33.74
2023-04-28 22:00:00,33.49
2023-04-28 23:00:00,33.44
2023-04-29 00:00:00,33.26
2023-04-29 01:00:00,33.13
