"Time","superficie"
2023-06-16 09:40:00,
2023-06-16 10:00:00,31.47
2023-06-16 10:20:00,31.59
2023-06-16 10:40:00,31.72
2023-06-16 11:00:00,31.88
2023-06-16 11:20:00,32.06
2023-06-16 11:40:00,31.94
2023-06-16 12:00:00,31.97
2023-06-16 12:20:00,32.09
2023-06-16 12:40:00,32.03
2023-06-16 13:00:00,32.22
2023-06-16 13:20:00,32.31
2023-06-16 13:40:00,32.31
2023-06-16 14:00:00,32.34
2023-06-16 14:20:00,32.38
2023-06-16 14:40:00,32.50
2023-06-16 15:00:00,32.63
2023-06-16 15:20:00,32.66
2023-06-16 15:40:00,32.69
2023-06-16 16:00:00,32.72
2023-06-16 16:20:00,32.75
2023-06-16 16:40:00,32.81
2023-06-16 17:00:00,32.91
2023-06-16 17:20:00,32.75
2023-06-16 17:40:00,32.91
2023-06-16 18:00:00,32.97
2023-06-16 18:20:00,32.91
2023-06-16 18:40:00,32.78
2023-06-16 19:00:00,32.72
2023-06-16 19:20:00,32.69
2023-06-16 19:40:00,32.63
2023-06-16 20:00:00,32.53
2023-06-16 20:20:00,32.47
2023-06-16 20:40:00,32.47
2023-06-16 21:00:00,32.42
2023-06-16 21:20:00,32.28
2023-06-16 21:40:00,32.22
2023-06-16 22:00:00,32.19
2023-06-16 22:20:00,32.13
2023-06-16 22:40:00,32.13
2023-06-16 23:00:00,32.06
2023-06-16 23:20:00,32.03
2023-06-16 23:40:00,31.97
2023-06-17 00:00:00,31.94
2023-06-17 00:20:00,31.91
2023-06-17 00:40:00,31.94
2023-06-17 01:00:00,31.94
2023-06-17 01:20:00,31.91
2023-06-17 01:40:00,31.81
2023-06-17 02:00:00,31.78
2023-06-17 02:20:00,31.75
2023-06-17 02:40:00,31.75
2023-06-17 03:00:00,31.75
2023-06-17 03:20:00,31.69
2023-06-17 03:40:00,31.69
2023-06-17 04:00:00,31.69
2023-06-17 04:20:00,31.75
2023-06-17 04:40:00,31.81
2023-06-17 05:00:00,31.88
2023-06-17 05:20:00,31.88
2023-06-17 05:40:00,31.88
2023-06-17 06:00:00,31.88
2023-06-17 06:20:00,31.88
2023-06-17 06:40:00,31.81
2023-06-17 07:00:00,31.78
2023-06-17 07:20:00,31.75
2023-06-17 07:40:00,31.81
2023-06-17 08:00:00,31.84
2023-06-17 08:20:00,31.94
2023-06-17 08:40:00,32.09
2023-06-17 09:00:00,32.22
2023-06-17 09:20:00,32.28
2023-06-17 09:40:00,32.44
2023-06-17 10:00:00,32.53
2023-06-17 10:20:00,32.63
2023-06-17 10:40:00,32.72
2023-06-17 11:00:00,32.78
2023-06-17 11:20:00,32.78
2023-06-17 11:40:00,32.78
2023-06-17 12:00:00,32.97
2023-06-17 12:20:00,33.06
2023-06-17 12:40:00,33.13
2023-06-17 13:00:00,33.25
2023-06-17 13:20:00,33.41
2023-06-17 13:40:00,33.53
2023-06-17 14:00:00,33.56
2023-06-17 14:20:00,33.75
2023-06-17 14:40:00,33.94
2023-06-17 15:00:00,33.94
2023-06-17 15:20:00,34.00
2023-06-17 15:40:00,33.94
2023-06-17 16:00:00,34.13
2023-06-17 16:20:00,34.16
2023-06-17 16:40:00,34.19
2023-06-17 17:00:00,34.25
2023-06-17 17:20:00,34.28
2023-06-17 17:40:00,34.44
2023-06-17 18:00:00,34.38
2023-06-17 18:20:00,34.47
2023-06-17 18:40:00,34.22
2023-06-17 19:00:00,34.25
2023-06-17 19:20:00,34.13
2023-06-17 19:40:00,34.03
2023-06-17 20:00:00,33.84
2023-06-17 20:20:00,33.72
2023-06-17 20:40:00,33.63
2023-06-17 21:00:00,33.56
2023-06-17 21:20:00,33.47
2023-06-17 21:40:00,33.41
2023-06-17 22:00:00,33.31
2023-06-17 22:20:00,33.22
2023-06-17 22:40:00,33.16
2023-06-17 23:00:00,33.13
2023-06-17 23:20:00,33.03
2023-06-17 23:40:00,32.94
2023-06-18 00:00:00,32.91
2023-06-18 00:20:00,32.84
2023-06-18 00:40:00,32.81
2023-06-18 01:00:00,32.81
2023-06-18 01:20:00,32.75
2023-06-18 01:40:00,32.69
2023-06-18 02:00:00,32.69
2023-06-18 02:20:00,32.59
2023-06-18 02:40:00,32.34
2023-06-18 03:00:00,32.16
2023-06-18 03:20:00,32.09
2023-06-18 03:40:00,32.00
2023-06-18 04:00:00,31.94
2023-06-18 04:20:00,31.94
2023-06-18 04:40:00,31.88
2023-06-18 05:00:00,31.88
2023-06-18 05:20:00,31.78
2023-06-18 05:40:00,31.75
2023-06-18 06:00:00,31.72
2023-06-18 06:20:00,31.63
2023-06-18 06:40:00,31.56
2023-06-18 07:00:00,31.50
2023-06-18 07:20:00,31.38
2023-06-18 07:40:00,31.28
2023-06-18 08:00:00,31.34
2023-06-18 08:20:00,31.38
2023-06-18 08:40:00,31.50
2023-06-18 09:00:00,31.47
2023-06-18 09:20:00,31.47
2023-06-18 09:40:00,31.38
2023-06-18 10:00:00,31.41
2023-06-18 10:20:00,31.72
2023-06-18 10:40:00,32.13
2023-06-18 11:00:00,31.84
2023-06-18 11:20:00,31.72
2023-06-18 11:40:00,31.97
2023-06-18 12:00:00,31.94
2023-06-18 12:20:00,31.94
2023-06-18 12:40:00,31.47
2023-06-18 13:00:00,31.38
2023-06-18 13:20:00,31.47
2023-06-18 13:40:00,31.81
2023-06-18 14:00:00,31.94
2023-06-18 14:20:00,32.16
2023-06-18 14:40:00,32.19
2023-06-18 15:00:00,32.06
2023-06-18 15:20:00,32.34
2023-06-18 15:40:00,32.25
2023-06-18 16:00:00,32.19
2023-06-18 16:20:00,31.97
2023-06-18 16:40:00,31.88
2023-06-18 17:00:00,31.19
2023-06-18 17:20:00,31.13
2023-06-18 17:40:00,31.38
2023-06-18 18:00:00,31.31
2023-06-18 18:20:00,31.31
2023-06-18 18:40:00,31.25
2023-06-18 19:00:00,31.19
2023-06-18 19:20:00,31.13
2023-06-18 19:40:00,31.09
2023-06-18 20:00:00,31.06
2023-06-18 20:20:00,31.00
2023-06-18 20:40:00,30.94
2023-06-18 21:00:00,30.94
2023-06-18 21:20:00,30.88
2023-06-18 21:40:00,30.88
2023-06-18 22:00:00,30.78
2023-06-18 22:20:00,30.78
2023-06-18 22:40:00,30.75
2023-06-18 23:00:00,30.72
2023-06-18 23:20:00,30.69
2023-06-18 23:40:00,30.66
2023-06-19 00:00:00,30.63
2023-06-19 00:20:00,30.56
2023-06-19 00:40:00,30.50
2023-06-19 01:00:00,30.44
2023-06-19 01:20:00,30.34
2023-06-19 01:40:00,30.16
2023-06-19 02:00:00,30.13
2023-06-19 02:20:00,29.97
2023-06-19 02:40:00,29.84
2023-06-19 03:00:00,29.78
2023-06-19 03:20:00,29.72
2023-06-19 03:40:00,29.56
2023-06-19 04:00:00,29.50
2023-06-19 04:20:00,29.50
2023-06-19 04:40:00,29.59
2023-06-19 05:00:00,29.78
2023-06-19 05:20:00,29.81
2023-06-19 05:40:00,29.84
2023-06-19 06:00:00,29.88
2023-06-19 06:20:00,29.88
2023-06-19 06:40:00,29.78
2023-06-19 07:00:00,29.72
2023-06-19 07:20:00,29.56
